RUA SÃO FRANCISCO                                                       BAHIA                                                                   RIO BRANCO                                                              ACRE                                                                    AC69904280 
RUA QUITO                                                               CERÂMICA                                                                RIO BRANCO                                                              ACRE                                                                    AC69900320 
ALAMEDA COIMBRA                                                         JARDIM EUROPA                                                           RIO BRANCO                                                              ACRE                                                                    AC69911270 
RUA BELÉM                                                               NOVA ESTAÇÃO                                                            RIO BRANCO                                                              ACRE                                                                    AC69907635 
BOULEVARD AUGUSTO MONTEIRO                                              QUINZE                                                                  RIO BRANCO                                                              ACRE                                                                    AC69901230 
RUA UM                                                                  TANCREDO NEVES                                                          RIO BRANCO                                                              ACRE                                                                    AC69918030 
RUA VINTE E SETE                                                        TANCREDO NEVES                                                          RIO BRANCO                                                              ACRE                                                                    AC69918310 
RODOVIA AC-040                                                          VILA ACRE                                                               RIO BRANCO                                                              ACRE                                                                    AC69902450 
RUA ESTUDANTE DIONE NUNES FERREIRA                                      BOA VISTA                                                               ARAPIRACA                                                               ALAGOAS                                                                 AL57303260 
RUA DÁCIA BEZERRA CAVALCANTE                                            BRASÍLIA                                                                ARAPIRACA                                                               ALAGOAS                                                                 AL57313100 
